realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2003.05.26,20030526,1630.0,160.0,1500.0,1630.0,1470.0,168765.0
2003.05.27,20030527,1640.0,10.0,1630.0,1650.0,1560.0,13916.0
2003.05.28,20030528,1550.0,-90.0,1640.0,1700.0,1500.0,110134.0
2003.05.29,20030529,1450.0,-100.0,1520.0,1550.0,1450.0,49924.0
2003.05.30,20030530,1510.0,60.0,1450.0,1580.0,1450.0,164055.0
2003.06.02,20030602,1470.0,-40.0,1530.0,1530.0,1440.0,42584.0
2003.06.03,20030603,1540.0,70.0,1470.0,1540.0,1420.0,29385.0
2003.06.04,20030604,1490.0,-50.0,1590.0,1590.0,1480.0,24362.0
2003.06.05,20030605,1480.0,-10.0,1500.0,1530.0,1470.0,6884.0
2003.06.09,20030609,1550.0,70.0,1450.0,1550.0,1450.0,16003.0
2003.06.10,20030610,1540.0,-10.0,1540.0,1560.0,1470.0,17511.0
2003.06.11,20030611,1540.0,0.0,1510.0,1600.0,1500.0,14643.0
2003.06.12,20030612,1540.0,0.0,1520.0,1550.0,1510.0,18420.0
2003.06.13,20030613,1560.0,20.0,1570.0,1600.0,1500.0,21762.0
